0, 145.3, 145.3
1, 143.3, 144.3
2, 141.3, 143.3
3, 139.4, 142.4
4, 137.6, 141.6
5, 136.0, 141
6, 134.3, 140.3
7, 132.8, 139.8
8, 131.4, 139.4
9, 130.0, 139
10, 128.8, 138.8
11, 127.5, 138.5
12, 126.4, 138.4
13, 125.2, 138.2
14, 124.2, 138.2
15, 123.2, 138.2
16, 122.2, 138.2
17, 121.2, 138.2
18, 120.3, 138.3
19, 119.5, 138.5
20, 118.6, 138.6
21, 117.8, 138.8
22, 117.1, 139.1
23, 116.2, 139.2
24, 115.6, 139.6
25, 114.8, 139.8
26, 114.1, 140.1
27, 113.4, 140.4
28, 112.8, 140.8
29, 112.1, 141.1
30, 111.5, 141.5
31, 110.9, 141.9
32, 110.3, 142.3
33, 109.7, 142.7
34, 109.2, 143.2
35, 108.6, 143.6
36, 108.1, 144.1
37, 107.5, 144.5
38, 107.0, 145
39, 106.5, 145.5
40, 106.0, 146
41, 105.5, 146.5
42, 105.0, 147
43, 104.5, 147.5
44, 104.1, 148.1
45, 103.6, 148.6
46, 103.2, 149.2
47, 102.7, 149.7
48, 102.3, 150.3
49, 101.9, 150.9
50, 101.5, 151.5
51, 101.1, 152.1
52, 100.7, 152.7
53, 100.3, 153.3
54, 99.9, 153.9
55, 99.5, 154.5
56, 99.1, 155.1
57, 98.8, 155.8
58, 98.4, 156.4
59, 98.0, 157
60, 97.7, 157.7
61, 97.3, 158.3
62, 97.0, 159
63, 96.6, 159.6
64, 96.3, 160.3
